timestamp,energy_demand_kw,temperature_c,cloud_cover_pct,wind_speed_ms,humidity_pct,solar_output_kw,battery_level_pct
2024-01-04 23:00:00,159.8,10.1,25,3.3,66,0.0,87.8
2024-01-05 00:00:00,130.5,9.5,18,3.5,63,0.0,86.4
2024-01-05 01:00:00,122.4,9.2,22,3.2,65,0.0,85.0
2024-01-05 02:00:00,116.2,8.9,26,2.9,68,0.0,83.6
2024-01-05 03:00:00,110.5,8.6,30,2.6,70,0.0,82.2
2024-01-05 04:00:00,106.5,8.4,34,2.4,72,0.0,80.8
2024-01-05 05:00:00,111.2,8.7,32,2.7,71,0.0,79.4
2024-01-05 06:00:00,128.5,9.5,24,3.3,66,9.5,78.6
2024-01-05 07:00:00,158.2,11.5,16,4.0,60,34.2,79.5
2024-01-05 08:00:00,194.8,13.8,10,4.6,55,68.5,82.8
2024-01-05 09:00:00,216.4,16.2,7,5.2,51,98.2,88.2
2024-01-05 10:00:00,235.2,18.5,5,5.6,47,118.5,94.0
2024-01-05 11:00:00,248.0,20.2,4,5.9,44,128.5,99.5
2024-01-05 12:00:00,255.8,21.5,3,6.2,41,132.4,100.0
2024-01-05 13:00:00,250.0,21.8,5,6.0,42,128.2,100.0
2024-01-05 14:00:00,242.4,21.0,8,5.8,44,119.5,100.0
2024-01-05 15:00:00,237.5,20.2,13,5.5,47,102.2,99.8
2024-01-05 16:00:00,244.2,19.2,18,5.2,50,78.5,99.2
2024-01-05 17:00:00,258.8,17.5,23,4.8,54,48.5,98.0
2024-01-05 18:00:00,268.8,16.0,28,4.4,58,20.2,96.4
2024-01-05 19:00:00,262.5,14.5,33,4.0,61,3.5,94.8
2024-01-05 20:00:00,256.0,13.2,36,3.6,64,0.0,93.2
2024-01-05 21:00:00,238.2,12.0,38,3.4,66,0.0,91.5
2024-01-05 22:00:00,204.5,11.2,32,3.2,67,0.0,89.9
2024-01-05 23:00:00,164.5,10.5,24,3.5,65,0.0,88.4
